,Head,Neck,Shoulders,Chest,Waist,Legs,Feet,Wrist,Hands,Ring 1,Ring 2,Trinket 1,Trinket 2,Back,Main Hand,Tabard,Shirt,Off Hand,score
7911,Wing Commander's Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Binding of Warped Desires,Ceremonial Parade Legguards,Errant Crusader's Greaves,Thunderous Echo Vambraces,Colossal Plate Gauntlets,Death God's Signet,Stitchflesh's Misplaced Signet,Inscrutable Quantum Device,Splintered Heart of Al'ar,Cloak of Enveloping Manifestations,Sinsmasher,Tabard of the Lightbringer,Lucky Shirt,Chyrus's Crest of Hope,1373.6
7912,Sinful Gladiator's Plate Helmet,Sinful Gladiator's Necklace,Sinful Gladiator's Plate Shoulders,Breastplate of Otherworldly Influence,Sinful Gladiator's Plate Greatbelt,Ceremonial Parade Legguards,Muckwallow Stompers,Sinful Gladiator's Plate Vambraces,Colossal Plate Gauntlets,Shadowghast Ring,Ritualist's Treasured Ring,Inscrutable Quantum Device,Splintered Heart of Al'ar,Decadent Nathrian Shawl,Axe of the Deadgrove,,,Sinful Gladiator's Guard,1330.9
7913,Darkfrost Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,Abdominal Securing Chestguard,Scarred Bloodbound Girdle,Ceremonial Parade Legguards,Warboots of Ruthless Conviction,Soldier's Stoneband Wristguards,Fallen Templar's Gauntlets,Signet of the False Accuser,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Splintered Heart of Al'ar,Drape of Twisted Loyalties,Ascended Gladius of Glory,Tabard of the Explorer,,Acidslough Bulwark,1343.1
7914,Plague Handler's Greathelm,Trailspinner Pendant,Shadowghast Pauldrons,Abdominal Securing Chestguard,Fused Bone Greatbelt,Halkias's Towering Pillars,Sinful Gladiator's Plate Warboots,Sinful Gladiator's Plate Vambraces,Distorted Construct's Gauntlets,Arachnid Cipher Ring,Signet of the False Accuser,Blood-Spattered Scale,Splintered Heart of Al'ar,Cloak of Enveloping Manifestations,Supercollider,,,Encrusted Canopic Lid,1207.9
7915,Shadowghast Helm,Sin Stained Pendant,Pauldrons of Unleashed Pride,Abdominal Securing Chestguard,Girdle of the Soulflayer,Halkias's Towering Pillars,Muckwallow Stompers,Thunderous Echo Vambraces,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Signet of the False Accuser,Anima Field Emitter,Blood-Spattered Scale,Cowled Batwing Cloak,Engorged Worm Smasher,Renowned Guild Tabard,Precious' Ribbon,Acidslough Bulwark,1283.5
7916,Plague Handler's Greathelm,Sin Stained Pendant,Vile Butcher's Pauldrons,Rampaging Giant's Chestplate,Fused Bone Greatbelt,Gormshell Greaves,Sinful Gladiator's Plate Warboots,Reality-Shatter Vambraces,Guilewind Stone Talons,Shadowghast Ring,Death God's Signet,Blood-Spattered Scale,Sinful Aspirant's Insignia of Alacrity,Sinful Gladiator's Drape,Engorged Worm Smasher,Loremaster's Colors,,Sinful Gladiator's Guard,1327.3
7917,Wing Commander's Helmet,Noble's Birthstone Pendant,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Girdle of the Soulflayer,Halkias's Towering Pillars,Sinful Gladiator's Plate Warboots,Pit Fighter's Wristguards,Fleshfused Crushers,Hyperlight Band,Death God's Signet,Gluttonous Spike,Blood-Spattered Scale,Cowled Batwing Cloak,Sinful Gladiator's Xiphos,Renowned Guild Tabard,Artisan Officer's Shirt,Sinful Gladiator's Guard,1285.8
7918,Shadowghast Helm,Sin Stained Pendant,Pauldrons of Unleashed Pride,Breastplate of Brutal Dissonance,Girdle of the Soulflayer,Halkias's Towering Pillars,Muckwallow Stompers,Sinful Gladiator's Plate Vambraces,Fleshfused Crushers,Death God's Signet,Ritual Commander's Ring,Inscrutable Quantum Device,Viscera of Coalesced Hatred,Blighted Margrave's Cloak,Sinsmasher,Purple Trophy Tabard of the Illidari,Wraps of the Blood-Soaked Brawler,Barricade of the Endless Empire,1078.0
7919,Darkfrost Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Waistguard of Expurged Anguish,Endlessly Gluttonous Greaves,Errant Crusader's Greaves,Hellhound Cuffs,Colossal Plate Gauntlets,Ritual Commander's Ring,Arachnid Cipher Ring,Sinful Gladiator's Insignia of Alacrity,Decanter of Anima-Charged Winds,Cowled Batwing Cloak,Ascended Gladius of Glory,Army of the Light Tabard,Precious' Ribbon,Elysian Sentinel's Aegis,1139.6
7920,Wing Commander's Helmet,Charm of Eternal Winter,Epaulettes of Overwhelming Force,Sinful Gladiator's Plate Chestguard,Girdle of the Soulflayer,Shadowghast Greaves,Errant Crusader's Greaves,Sinful Gladiator's Plate Vambraces,Fleshfused Crushers,Most Regal Signet of Sire Denathrius,Ritualist's Treasured Ring,Splintered Heart of Al'ar,Stone Legion Heraldry,Sinful Gladiator's Drape,Sinful Gladiator's Xiphos,Tabard of the Lightbringer,Sawbones Shirt,Sinful Gladiator's Guard,1155.7
7921,Wing Commander's Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Fused Bone Greatbelt,Gormshell Greaves,Dynamo Doomstompers,Soldier's Stoneband Wristguards,Guilewind Stone Talons,Stitchflesh's Misplaced Signet,Most Regal Signet of Sire Denathrius,Splintered Heart of Al'ar,Blood-Spattered Scale,Cowled Batwing Cloak,Stoneborn Terrorblade,Tabard of the Lightbringer,Last Season's Shirt,Acidslough Bulwark,1199.4
7922,Plague Handler's Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Girdle of the Soulflayer,Halkias's Towering Pillars,Dynamo Doomstompers,Reality-Shatter Vambraces,Fogweaver Gauntlets,Stitchflesh's Misplaced Signet,Death God's Signet,Slimy Consumptive Organ,Darkmoon Deck: Voracity,Cowled Batwing Cloak,Supercollider,,,Acidslough Bulwark,1138.9
7923,Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Abdominal Securing Chestguard,Fused Bone Greatbelt,Halkias's Towering Pillars,Dynamo Doomstompers,Vambraces of the Depraved Warden,Fogweaver Gauntlets,Death God's Signet,Signet of the False Accuser,Anima Field Emitter,Overwhelming Power Crystal,Dealer Xy'exa's Cape,Axe of the Deadgrove,Tabard of the Lightbringer,Lucky Shirt,Acidslough Bulwark,948.7
7924,Shadowghast Helm,Trailspinner Pendant,Unyielding Combatant's Pauldrons,Breastplate of Fatal Contrivances,Binding of Warped Desires,Legplates of Unholy Frenzy,Sabatons of the Rushing Juggernaut,Vambraces of the Depraved Warden,Colossal Plate Gauntlets,Death God's Signet,Stitchflesh's Misplaced Signet,Sanguine Vintage,Viscera of Coalesced Hatred,Blighted Margrave's Cloak,Gorestained Cleaver,Renowned Guild Tabard,,Encrusted Canopic Lid,1177.9
7925,Darkfrost Helmet,Sin Stained Pendant,Prankster's Pauldrons,Sinful Gladiator's Plate Chestguard,Shadowghast Waistguard,Halkias's Towering Pillars,Sinful Gladiator's Plate Warboots,Hellhound Cuffs,Fogweaver Gauntlets,Stitchflesh's Misplaced Signet,Sinful Gladiator's Signet,Sinful Gladiator's Insignia of Alacrity,Sinful Aspirant's Medallion,Blighted Margrave's Cloak,Sophisticated Bonecracker,,,Acidslough Bulwark,1099.3
7926,Darkfrost Helmet,Charm of Eternal Winter,Sinful Gladiator's Plate Pauldrons,Breastplate of Otherworldly Influence,Shadowghast Waistguard,Gormshell Greaves,Warboots of Ruthless Conviction,Sinful Gladiator's Plate Vambraces,Hardened Castle Crushers,Stitchflesh's Misplaced Signet,Death God's Signet,Viscera of Coalesced Hatred,Spare Meat Hook,Sinful Gladiator's Drape,Sophisticated Bonecracker,Renowned Guild Tabard,,Barricade of the Endless Empire,1080.3
7927,Wing Commander's Helmet,Trailspinner Pendant,Shadowghast Pauldrons,Abdominal Securing Chestguard,Girdle of the Soulflayer,Sinful Gladiator's Plate Legguards,Dynamo Doomstompers,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Ritualist's Treasured Ring,Band of the Risen Bonelord,Pulsating Stoneheart,Inscrutable Quantum Device,Sinful Gladiator's Drape,Axe of the Deadgrove,Stormwind Tabard,,Acidslough Bulwark,1012.1
7928,Darkfrost Helmet,Trailspinner Pendant,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Scarred Bloodbound Girdle,Endlessly Gluttonous Greaves,Sinful Gladiator's Plate Warboots,Sinful Gladiator's Plate Vambraces,Fogweaver Gauntlets,Arachnid Cipher Ring,Signet of the False Accuser,Anima Field Emitter,Darkmoon Deck: Voracity,Cloak of Enveloping Manifestations,Sinful Gladiator's Swordbreaker,Order of Embers Tabard,Artisan Initiate's Shirt,Sinful Gladiator's Redoubt,983.7
7929,Plague Handler's Greathelm,Azure-Venom Choker,Prankster's Pauldrons,Breastplate of Brutal Dissonance,Shadowghast Waistguard,Legplates of Unholy Frenzy,Warboots of Ruthless Conviction,Vambraces of the Depraved Warden,Fleshfused Crushers,Signet of the False Accuser,Ritual Commander's Ring,Inscrutable Quantum Device,Splintered Heart of Al'ar,Cowled Batwing Cloak,Axe of the Deadgrove,Renowned Guild Tabard,Fashionable Undershirt,Acidslough Bulwark,888.9
7930,Ironbark Faceguard,Azure-Venom Choker,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Girdle of the Soulflayer,Halkias's Towering Pillars,Warboots of Ruthless Conviction,Pit Fighter's Wristguards,Fleshfused Crushers,Ritual Bone Band,Signet of the False Accuser,Inscrutable Quantum Device,Blood-Spattered Scale,Blighted Margrave's Cloak,Engorged Worm Smasher,Tabard of Brute Force,Precious' Ribbon,Chyrus's Crest of Hope,1054.8
7931,Wrathbark Greathelm,Trailspinner Pendant,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Waistguard of Expurged Anguish,Gormshell Greaves,Errant Crusader's Greaves,Hellhound Cuffs,Fleshfused Crushers,Death God's Signet,Signet of the False Accuser,Splintered Heart of Al'ar,Blood-Spattered Scale,Dealer Xy'exa's Cape,Ascended Gladius of Glory,,,Elysian Sentinel's Aegis,713.5
7932,Wrathbark Greathelm,Noble's Birthstone Pendant,Unyielding Combatant's Pauldrons,Breastplate of Cautious Calculation,Binding of Warped Desires,Shadowghast Greaves,Errant Crusader's Greaves,Shoulderblade Vambraces,Colossal Plate Gauntlets,Ritualist's Treasured Ring,Signet of the False Accuser,Sanguine Vintage,Blood-Spattered Scale,Crest of the Legionnaire General,Ascended Gladius of Glory,Exodar Tabard,Common White Shirt,Acidslough Bulwark,920.1
7933,Shadowghast Helm,Charm of Eternal Winter,Prankster's Pauldrons,Breastplate of Fatal Contrivances,Fused Bone Greatbelt,Legplates of Unholy Frenzy,Sabatons of the Rushing Juggernaut,Thunderous Echo Vambraces,Distorted Construct's Gauntlets,Signet of the False Accuser,Ritual Commander's Ring,Sanguine Vintage,Anima Field Emitter,Cloak of Enveloping Manifestations,Sinsmasher,,Artisan Officer's Shirt,Barricade of the Endless Empire,824.4
7934,Darkfrost Helmet,Azure-Venom Choker,Prankster's Pauldrons,Breastplate of Fatal Contrivances,Stoic Guardsman's Belt,Galvanized Oxxein Legguards,Sabatons of the Rushing Juggernaut,Vambraces of the Depraved Warden,Fleshfused Crushers,Shadowghast Ring,Ritual Commander's Ring,Inscrutable Quantum Device,Overwhelming Power Crystal,Blighted Margrave's Cloak,Engorged Worm Smasher,,Wraps of the Blood-Soaked Brawler,Kudebeh's Remarkable Targe,1049.3
7935,Diadem of Imperious Desire,Charm of Eternal Winter,Tabone's Branded Pauldrons,Breastplate of Brutal Dissonance,Binding of Warped Desires,Shadowghast Greaves,Stoneguard Attendant's Boots,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Bloodoath Signet,Ritual Bone Band,Blood-Spattered Scale,Anima Field Emitter,Drape of Twisted Loyalties,Sacred Sparrer's Edge,,,Acidslough Bulwark,905.0
7936,Wrathbark Greathelm,Trailspinner Pendant,Pauldrons of Unleashed Pride,Breastplate of Brutal Dissonance,Stoic Guardsman's Belt,Endlessly Gluttonous Greaves,Errant Crusader's Greaves,Pit Fighter's Wristguards,Guilewind Stone Talons,Shadowghast Ring,Hyperlight Band,Phial of Putrefaction,Sinful Aspirant's Insignia of Alacrity,Drape of Twisted Loyalties,Axe of the Deadgrove,Tabard of the Lightbringer,,Sinful Gladiator's Guard,1117.1
7937,Plague Handler's Greathelm,Sinful Gladiator's Necklace,Sinful Gladiator's Plate Pauldrons,Breastplate of Brutal Dissonance,Shadowghast Waistguard,Halkias's Towering Pillars,Sinful Gladiator's Plate Warboots,Sinful Gladiator's Plate Vambraces,Sinful Gladiator's Plate Gauntlets,Stitchflesh's Misplaced Signet,Bloodoath Signet,Splintered Heart of Al'ar,Blood-Spattered Scale,Sinful Gladiator's Greatcloak,Sinful Gladiator's Xiphos,Darnassus Tabard,The Boomshirt,Acidslough Bulwark,1082.0
7938,Wing Commander's Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Dynamo Doomstompers,Reality-Shatter Vambraces,Distorted Construct's Gauntlets,Hyperlight Band,Bloodoath Signet,Sinful Gladiator's Insignia of Alacrity,Blood-Spattered Scale,Mantle of Manifest Sins,Sophisticated Bonecracker,Renowned Guild Tabard,,Sinful Gladiator's Guard,1000.2
7939,Darkfrost Helmet,Trailspinner Pendant,Pauldrons of Unleashed Pride,Breastplate of Brutal Dissonance,Fused Bone Greatbelt,Legplates of Unholy Frenzy,Shadowghast Sabatons,Vambraces of the Depraved Warden,Colossal Plate Gauntlets,Most Regal Signet of Sire Denathrius,Ritual Bone Band,Macabre Sheet Music,Darkmoon Deck: Indomitable,Cowled Batwing Cloak,Gorestained Cleaver,Blood Knight Tabard,Artisan Officer's Shirt,Encrusted Canopic Lid,633.3
7940,Wrathbark Greathelm,Trailspinner Pendant,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Fused Bone Greatbelt,Conqueror's Aegis Legguards,Errant Crusader's Greaves,Shoulderblade Vambraces,Desm's Fistos,Ritualist's Treasured Ring,Death God's Signet,Viscera of Coalesced Hatred,Blood-Spattered Scale,Mantle of Manifest Sins,Sophisticated Bonecracker,,,Chyrus's Crest of Hope,740.7
7941,Darkfrost Helmet,Sin Stained Pendant,Selfless Collector's Spaulders,Breastplate of Otherworldly Influence,Shadowghast Waistguard,Selfless Collector's Legguards,Selfless Collector's Warboots,Shoulderblade Vambraces,Colossal Plate Gauntlets,Signet of the False Accuser,Ritual Commander's Ring,Overwhelming Power Crystal,Slimy Consumptive Organ,Dealer Xy'exa's Cape,Axe of the Deadgrove,,,Sylvan Whiteshield,806.4
7942,Shadowghast Helm,Sin Stained Pendant,Vile Butcher's Pauldrons,Breastplate of Otherworldly Influence,Fused Bone Greatbelt,Gormshell Greaves,Stoneguard Attendant's Boots,Hellhound Cuffs,Fogweaver Gauntlets,Ritualist's Treasured Ring,Bloodoath Signet,Inscrutable Quantum Device,Misfiring Centurion Controller,Mantle of Manifest Sins,Sophisticated Bonecracker,Tabard of the Lightbringer,Fashionable Undershirt,Elysian Sentinel's Aegis,917.7
7943,Wing Commander's Helmet,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestguard,Waistguard of Expurged Anguish,Legplates of Unholy Frenzy,Muckwallow Stompers,Sinful Gladiator's Plate Vambraces,Distorted Construct's Gauntlets,Band of the Risen Bonelord,Ritualist's Treasured Ring,Blood-Spattered Scale,Inscrutable Quantum Device,Drape of Twisted Loyalties,Sinsmasher,,Antiseptic-Soaked Dressing,Acidslough Bulwark,893.5
7944,Wing Commander's Helmet,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Sinful Gladiator's Plate Greatbelt,Sinful Gladiator's Plate Legguards,Sabatons of the Rushing Juggernaut,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Ritual Bone Band,Bloodoath Signet,Pulsating Stoneheart,Grim Codex,Mantle of Manifest Sins,Sinful Aspirant's Sword,Tabard of the Ascended,,Sinful Gladiator's Guard,841.0
7945,Shadowghast Helm,Muckformed Chain Choker,Sinful Gladiator's Plate Pauldrons,Abdominal Securing Chestguard,Binding of Warped Desires,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Sinful Gladiator's Plate Vambraces,Fogweaver Gauntlets,Sinful Gladiator's Ring,Sinful Gladiator's Signet,Anima Field Emitter,Inscrutable Quantum Device,Blighted Margrave's Cloak,Axe of the Deadgrove,Tabard of the Lightbringer,Last Season's Shirt,Encrusted Canopic Lid,1064.9
7946,Plague Handler's Greathelm,Muckformed Chain Choker,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Muckwallow Stompers,Vambraces of the Depraved Warden,Guilewind Stone Talons,Death God's Signet,Fleshfused Circle,Sinful Aspirant's Insignia of Alacrity,Blood-Spattered Scale,Drape of Twisted Loyalties,Axe of the Deadgrove,,,Encrusted Canopic Lid,850.6
7947,Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Binding of Warped Desires,Halkias's Towering Pillars,Errant Crusader's Greaves,Reality-Shatter Vambraces,Colossal Plate Gauntlets,Ritual Bone Band,Death God's Signet,Inscrutable Quantum Device,Splintered Heart of Al'ar,Cowled Batwing Cloak,Sinsmasher,,,Encrusted Canopic Lid,997.2
7948,Wrathbark Greathelm,Azure-Venom Choker,Prankster's Pauldrons,Breastplate of Otherworldly Influence,Scarred Bloodbound Girdle,Gormshell Greaves,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Colossal Plate Gauntlets,Ritual Bone Band,Shadowghast Ring,Blood-Spattered Scale,Splintered Heart of Al'ar,Dealer Xy'exa's Cape,Gorestained Cleaver,Renowned Guild Tabard,,Encrusted Canopic Lid,1219.8
7949,Darkfrost Helmet,Sin Stained Pendant,Pauldrons of Unleashed Pride,Breastplate of Brutal Dissonance,Shadowghast Waistguard,Halkias's Towering Pillars,Muckwallow Stompers,Reality-Shatter Vambraces,Fleshfused Crushers,Death God's Signet,Stitchflesh's Misplaced Signet,Sinful Aspirant's Insignia of Alacrity,Anima Field Emitter,Drape of Twisted Loyalties,Sophisticated Bonecracker,,,Sylvan Whiteshield,945.3
7950,Wrathbark Greathelm,Azure-Venom Choker,Prankster's Pauldrons,Chestplate of the March Warden,Binding of Warped Desires,Shadowghast Greaves,Errant Crusader's Greaves,Reality-Shatter Vambraces,Hardened Castle Crushers,Bloodoath Signet,Ritual Bone Band,Sinful Aspirant's Badge of Ferocity,Overwhelming Power Crystal,Cowled Batwing Cloak,Barbed-Edge of the Stone Legion,Tabard of the Lightbringer,Precious' Ribbon,The Boreal Guard,617.6
7951,Wrathbark Greathelm,Trailspinner Pendant,Unyielding Combatant's Pauldrons,Abdominal Securing Chestguard,Shadowghast Waistguard,Gormshell Greaves,Muckwallow Stompers,Soldier's Stoneband Wristguards,Fogweaver Gauntlets,Most Regal Signet of Sire Denathrius,Death God's Signet,Slimy Consumptive Organ,Inscrutable Quantum Device,Crest of the Legionnaire General,Ascended Gladius of Glory,,,Elysian Sentinel's Aegis,678.5
7952,Shadowghast Helm,Trailspinner Pendant,Pauldrons of Unleashed Pride,Breastplate of Fatal Contrivances,Stonebark Girdle,Plated Leggings of Ruination,Stoneguard Attendant's Boots,Thunderous Echo Vambraces,Fleshfused Crushers,Death God's Signet,Stitchflesh's Misplaced Signet,Decanter of Anima-Charged Winds,Sanguine Vintage,Drape of Twisted Loyalties,Supercollider,,Threads of Tirion,Acidslough Bulwark,635.7
7953,Shadowghast Helm,Sin Stained Pendant,Epaulettes of Overwhelming Force,Abdominal Securing Chestguard,Waistguard of Expurged Anguish,Legplates of Unholy Frenzy,Warboots of Ruthless Conviction,Shoulderblade Vambraces,Fogweaver Gauntlets,Death God's Signet,Ritual Commander's Ring,Overwhelming Power Crystal,Anima Field Emitter,Dealer Xy'exa's Cape,Axe of the Deadgrove,Tushui Tabard,,Barricade of the Endless Empire,861.0
7954,Wrathbark Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Waistguard of Expurged Anguish,Halkias's Towering Pillars,Dynamo Doomstompers,Pit Fighter's Wristguards,Distorted Construct's Gauntlets,Death God's Signet,Band of the Risen Bonelord,Blood-Spattered Scale,Overwhelming Power Crystal,Cowled Batwing Cloak,Sinsmasher,,,Sinful Gladiator's Guard,787.0
